,City or town,Per Capita Income,Median Household Income,,,,,,
,Norwood,"$37,213","$75,957",,,,,,
,West Stockbridge,"$37,118","$64,038",,,,,,
,Rehoboth,"$36,959","$82,500",,,,,,
,Pembroke,"$36,916","$86,887",,,,,,
,Montgomery,"$36,894","$83,611",,,,,,
,Waltham,"$36,864","$74,198",,,,,,
,Sturbridge,"$36,709","$77,096",,,,,,
,Merrimac,"$36,605","$79,423",,,,,,
,Douglas,"$36,525","$83,253",,,,,,
,Hadley,"$36,471","$73,250",,,,,,
,Brimfield,"$36,406","$81,196",,,,,,
,Braintree,"$36,351","$81,844",,,,,,
,Eastham,"$36,328","$58,356",,,,,,
,East Longmeadow,"$36,171","$80,469",,,,,,
,Bellingham,"$36,165","$80,179",,,,,,
,Lenox,"$36,094","$51,089",,,,,,
,Whately,"$36,054","$80,298",,,,,,
,Deerfield,"$35,998","$76,726",,,,,,
,Mattapoisett,"$35,941","$78,864",,,,,,
,Gloucester,"$35,928","$61,449",,,,,,
,Lunenburg,"$35,866","$76,063",,,,,,
,Massachusetts,"$35,763","$66,866",,,,,,
,Hatfield,"$35,751","$58,839",,,,,,
,Hampden,"$35,736","$80,582",,,,,,
,Barnstable,"$35,723","$60,135",,,,,,
,Williamsburg,"$35,721","$62,683",,,,,,
,Hudson,"$35,713","$71,971",,,,,,
,Lakeville,"$35,711","$87,900",,,,,,
,Pepperell,"$35,689","$81,193",,,,,,
,Charlton,"$35,678","$93,963",,,,,,
,Salisbury,"$35,656","$72,131",,,,,,
,Washington,"$35,641","$70,000",,,,,,
,Southwick,"$35,587","$78,476",,,,,,
,Brewster,"$35,564","$60,515",,,,,,
,New Marlborough,"$35,479","$65,278",,,,,,
,Medford,"$35,476","$73,497",,,,,,
,Plymouth,"$35,369","$76,565",,,,,,
,East Bridgewater,"$35,360","$85,912",,,,,,
,Marlborough,"$35,335","$70,304",,,,,,
,Paxton,"$35,309","$106,375",,,,,,
,Westport,"$35,249","$78,013",,,,,,
,Woburn,"$35,134","$74,431",,,,,,
,North Attleborough,"$35,081","$79,289",,,,,,
,Uxbridge,"$34,910","$84,909",,,,,,
,Worthington,"$34,898","$68,882",,,,,,
,Westminster,"$34,860","$83,840",,,,,,
,Leyden,"$34,857","$75,156",,,,,,
,Weymouth,"$34,832","$68,113",,,,,,
,Dighton,"$34,827","$81,625",,,,,,
,Raynham,"$34,802","$80,380",,,,,,
,Somerville,"$34,781","$67,118",,,,,,
,Sheffield,"$34,779","$51,758",,,,,,
,Otis,"$34,746","$59,271",,,,,,
,Townsend,"$34,722","$80,162",,,,,,
,Mashpee,"$34,717","$63,657",,,,,,
,Ashfield,"$34,716","$69,583",,,,,,
,Heath,"$34,649","$53,750",,,,,,
,Auburn,"$34,624","$73,263",,,,,,
,Seekonk,"$34,580","$70,966",,,,,,
,Abington,"$34,567","$78,395",,,,,,
,Middlefield,"$34,563","$75,156",,,,,,
,Billerica,"$34,545","$88,296",,,,,,
,Northampton,"$34,466","$57,991",,,,,,
,Westhampton,"$34,464","$77,875",,,,,,
,Harwich,"$34,459","$62,927",,,,,,
,Ashburnham,"$34,454","$83,532",,,,,,
,Sandwich,"$34,443","$82,617",,,,,,
,Lanesborough,"$34,375","$69,651",,,,,,
,Peabody,"$34,367","$64,351",,,,,,
,Saugus,"$34,350","$76,339",,,,,,
,Gill,"$34,215","$74,583",,,,,,
,Southampton,"$34,196","$80,000",,,,,,
,Yarmouth,"$34,096","$53,089",,,,,,
,Bourne,"$34,012","$62,216",,,,,,
,Windsor,"$33,975","$73,750",,,,,,
,Boston,"$33,964","$53,601",,,,,,
,Warwick,"$33,803","$55,859",,,,,,
,Hubbardston,"$33,730","$86,979",,,,,,
,Williamstown,"$33,706","$71,612",,,,,,
,Framingham,"$33,695","$67,915",,,,,,
,Holbrook,"$33,343","$62,897",,,,,,
,Hanson,"$33,337","$92,560",,,,,,
,Rutland,"$33,229","$86,482",,,,,,
,Ashby,"$33,228","$82,778",,,,,,
,Berkley,"$33,189","$90,741",,,,,,
,Halifax,"$33,177","$67,760",,,,,,
,Quincy,"$33,131","$61,328",,,,,,
,Stoughton,"$33,094","$74,262",,,,,,
,Ayer,"$33,092","$60,345",,,,,,
,Swansea,"$33,067","$70,991",,,,,,
,Lee,"$33,018","$57,683",,,,,,
,Avon,"$33,005","$73,194",,,,,,
,Bridgewater,"$32,991","$87,015",,,,,,
,Great Barrington,"$32,963","$50,137",,,,,,
,Hardwick,"$32,935","$58,073",,,,,,
,Dennis,"$32,843","$50,672",,,,,,
,Oakham,"$32,805","$85,556",,,,,,
,Holland,"$32,734","$67,684",,,,,,
,West Bridgewater,"$32,725","$80,347",,,,,,
,Dracut,"$32,690","$78,169",,,,,,
,Blandford,"$32,651","$72,273",,,,,,
,Whitman,"$32,541","$72,462",,,,,,
,Blackstone,"$32,488","$74,294",,,,,,
,Norton,"$32,414","$81,069",,,,,,
,Millbury,"$32,361","$71,681",,,,,,
,Belchertown,"$32,222","$71,875",,,,,,
,Freetown,"$32,095","$85,393",,,,,,
,Northbridge,"$32,055","$66,541",,,,,,
,Milford,"$32,031","$66,311",,,,,,
,Northfield,"$32,021","$60,608",,,,,,
,Hawley,"$31,946","$63,750",,,,,,
,Petersham,"$31,904","$72,917",,,,,,
,New Salem,"$31,880","$72,656",,,,,,
,Monson,"$31,805","$65,280",,,,,,
,Clinton,"$31,765","$64,723",,,,,,
,Barre,"$31,754","$69,016",,,,,,
,Middleborough,"$31,719","$77,607",,,,,,
,Cummington,"$31,648","$51,458",,,,,,
,Somerset,"$31,585","$73,160",,,,,,
,Shelburne,"$31,553","$55,500",,,,,,
,Hancock,"$31,535","$79,438",,,,,,
,Acushnet,"$31,477","$66,367",,,,,,
,Chesterfield,"$31,467","$61,250",,,,,,
,Salem,"$31,385","$55,780",,,,,,
,Ludlow,"$31,117","$61,073",,,,,,
,Easthampton,"$31,021","$57,617",,,,,,
,Granby,"$31,002","$73,231",,,,,,
,Attleboro,"$30,978","$67,039",,,,,,
,New Braintree,"$30,961","$82,569",,,,,,
,Tisbury,"$30,955","$48,935",,,,,,
